,fullname,team,birthdate,country,height,weight,rider_url
36,Alexandr Dyachenko,noteam,1983-10-17,Kazakhstan,1.79,65.0,alexandr-dyachenko
37,Dmitriy Fofonov,noteam,1976-08-15,Kazakhstan,1.75,65.0,dmitriy-fofonov
38,Enrico Gasparotto,Team Dimension Data,1982-03-22,Italy,1.74,65.0,enrico-gasparotto
39,Francesco Gavazzi,Androni Giocattoli - Sidermec,1984-08-01,Italy,1.73,65.0,francesco-gavazzi
40,Andrey Grivko,noteam,1983-08-07,Ukraine,1.81,70.0,andrei-grivko
41,Dmitriy Gruzdev,Astana Pro Team,1986-03-13,Kazakhstan,1.83,72.0,dmitriy-gruzdev
42,Jacopo Guarnieri,Groupama - FDJ,1987-08-14,Italy,1.89,78.0,jacopo-guarnieri
43,Valentin Iglinskiy,noteam,1984-05-12,Kazakhstan,0.0,0.0,valentin-iglinskiy
44,Maxim Iglinskiy,noteam,1981-04-18,Kazakhstan,1.71,67.0,maxim-iglinskiy
45,Tanel Kangert,EF Education First,1987-03-11,Estonia,1.78,65.0,tanel-kangert
46,Andrey Kashechkin,noteam,1980-03-21,Kazakhstan,1.85,70.0,andrey-kashechkin
47,Fredrik Kessiakoff,noteam,1980-05-17,Sweden,1.75,61.0,fredrik-kessiakoff
48,Robert Kišerlovski,noteam,1986-08-09,Croatia,1.8,72.0,robert-kiserlovski
49,Roman Kreuziger,Team Dimension Data,1986-05-06,Czech Republic,1.83,65.0,roman-kreuziger-1
50,Francesco Masciarelli,noteam,1986-05-05,Italy,0.0,0.0,francesco-masciarelli
51,Dmitriy Muravyev,noteam,1979-11-02,Kazakhstan,1.89,75.0,dmitriy-muravyev
52,Yevgeniy Nepomnyachshiy,noteam,1987-03-12,Kazakhstan,0.0,0.0,yevgeniy-nepomnyachshiy
53,Evgeni Petrov,noteam,1978-05-25,Russia,1.81,70.0,evgeni-petrov
54,Simone Ponzi,noteam,1987-01-17,Italy,1.78,63.0,simone-ponzi
55,Sergey Renev,noteam,1985-01-03,Kazakhstan,1.84,68.0,sergey-renev
56,Kevin Seeldraeyers,noteam,1986-09-12,Belgium,1.74,60.0,kevin-seeldraeyers
57,Egor Silin,noteam,1988-05-25,Russia,1.77,61.0,egor-silin
58,Paolo Tiralongo,noteam,1977-07-08,Italy,1.78,63.0,paolo-tiralongo
59,Alexandre Vinokourov,noteam,1973-09-16,Kazakhstan,1.77,68.0,alexandre-vinokourov
60,Andrey Zeits,Astana Pro Team,1986-12-14,Kazakhstan,1.89,73.0,andrey-zeits
61,Alessandro Ballan,noteam,1979-11-06,Italy,0.0,0.0,alessandro-ballan
62,Adam Blythe,Lotto Soudal,1989-10-01,Great Britain,1.75,68.0,adam-blythe
63,Brent Bookwalter,Mitchelton-Scott,1984-02-16,United States,1.8,70.0,brent-bookwalter
64,Marcus Burghardt,BORA - hansgrohe,1983-06-30,Germany,1.89,75.0,marcus-burghardt
65,Steve Cummings,Team Dimension Data,1981-03-19,Great Britain,1.89,73.0,stephen-cummings
66,Yannick Eijssen,noteam,1989-06-26,Belgium,1.74,60.0,yannick-eijssen
67,Cadel Evans,noteam,1977-02-14,Australia,1.74,64.0,cadel-evans
68,Mathias Flückiger,noteam,1988-09-27,Switzerland,0.0,0.0,mathias-fluckiger
69,Mathias Frank,AG2R La Mondiale,1986-12-09,Switzerland,1.76,64.0,mathias-frank
70,Philippe Gilbert,Deceuninck - Quick Step,1982-07-05,Belgium,1.79,69.0,philippe-gilbert
71,George Hincapie,noteam,1973-06-29,United States,1.91,83.0,george-hincapie
72,Thor Hushovd,noteam,1978-01-18,Norway,1.83,83.0,thor-hushovd
73,Martin Kohler,noteam,1985-07-17,Switzerland,1.78,69.0,martin-kohler
74,Klaas Lodewyck,noteam,1988-03-24,Belgium,1.8,70.0,klaas-lodewyck
75,Amaël Moinard,noteam,1982-02-02,France,1.8,69.0,amael-moinard
76,Steve Morabito,Groupama - FDJ,1983-01-30,Switzerland,1.86,74.0,steve-morabito
77,Taylor Phinney,EF Education First,1990-06-27,United States,1.97,82.0,taylor-phinney
78,Marco Pinotti,noteam,1976-02-25,Italy,1.76,67.0,marco-pinotti
79,Manuel Quinziato,noteam,1979-10-30,Italy,1.85,74.0,manuel-quinziato
80,Timothy Roe,noteam,1989-10-28,Australia,1.82,68.0,timothy-roe
81,Mauro Santambrogio,noteam,1984-10-07,Italy,0.0,0.0,mauro-santambrogio
82,Ivan Santaromita,Nippo Vini Fantini Faizanè,1984-04-30,Italy,1.76,58.0,ivan-santaromita
83,Michael Schär,CCC Team,1986-09-29,Switzerland,1.96,74.0,michael-schar
84,Johann Tschopp,noteam,1982-07-01,Switzerland,0.0,0.0,johann-tschopp
85,Greg Van Avermaet,CCC Team,1985-05-17,Belgium,1.81,74.0,greg-van-avermaet
86,Tejay van Garderen,EF Education First,1988-08-12,United States,1.86,72.0,tejay-van-garderen
87,Larry Warbasse,AG2R La Mondiale,1990-06-28,United States,1.83,67.0,lawrence-warbasse
88,Danilo Wyss,Team Dimension Data,1985-08-26,Switzerland,1.76,65.0,danilo-wyss
89,Igor Antón,noteam,1983-03-02,Spain,1.73,64.0,igor-anton
90,Mikel Astarloza,noteam,1979-11-17,Spain,1.85,72.0,mikel-astarloza
91,Jorge Azanza,noteam,1982-06-16,Spain,1.85,68.0,jorge-azanza
92,Pello Bilbao,Astana Pro Team,1990-02-25,Spain,1.74,60.0,pello-bilbao
93,Víctor Cabedo,noteam,1989-06-15,Spain,0.0,0.0,victor-cabedo
94,Pierre Cazaux,noteam,1984-06-07,France,0.0,0.0,pierre-cazaux
95,Ricardo García,noteam,1988-02-26,Spain,1.83,68.0,ricardo-garcia-ambroa
96,Ion Izagirre,Astana Pro Team,1989-02-04,Spain,1.73,60.0,ion-izagirre
97,Gorka Izagirre,Astana Pro Team,1987-10-07,Spain,1.76,66.5,gorka-izagirre
98,Mikel Landa,Movistar Team,1989-12-13,Spain,1.73,60.0,mikel-landa
99,Egoi Martínez,noteam,1978-05-15,Spain,1.81,70.0,egoi-martinez
100,Miguel Mínguez,noteam,1988-08-30,Spain,0.0,0.0,miguel-minguez
101,Mikel Nieve,Mitchelton-Scott,1984-05-26,Spain,1.73,62.0,mikel-nieve
102,Juan José Oroz,noteam,1980-07-11,Spain,1.87,71.0,juan-jose-oroz
103,Alan Pérez,noteam,1982-07-15,Spain,0.0,0.0,alan-lezaun-perez
104,Rubén Pérez,noteam,1981-10-30,Spain,1.73,65.0,ruben-perez
105,Adrián Sáez,noteam,1986-03-17,Spain,0.0,0.0,adrian-saez-de-arregi
106,Samuel Sánchez,noteam,1978-02-05,Spain,1.75,65.0,samuel-sanchez
107,Romain Sicard,Team Total Direct Energie,1988-01-01,France,1.77,64.0,romain-sicard
108,Amets Txurruka,noteam,1982-11-10,Spain,1.71,58.0,amets-txurruka
109,Pablo Urtasun,noteam,1980-03-29,Spain,1.76,69.0,pablo-urtasun
110,Iván Velasco,noteam,1980-02-08,Spain,1.77,65.0,ivan-velasco
111,Gorka Verdugo,noteam,1978-11-04,Spain,1.81,71.0,gorka-verdugo
112,Sébastien Bergeret,noteam,1992-01-22,France,0.0,0.0,sebastien-bergeret
113,William Bonnet,Groupama - FDJ,1982-06-25,France,1.85,78.0,william-bonnet
114,David Boucher,Tarteletto - Isorex,1980-03-17,Belgium,1.88,78.0,david-boucher
115,Nacer Bouhanni,"Cofidis, Solutions Crédits",1990-07-25,France,1.75,66.0,nacer-bouhanni
116,Sandy Casar,noteam,1979-02-02,France,1.79,63.0,sandy-casar
117,Steve Chainel,noteam,1983-09-06,France,1.8,69.0,steve-chainel
118,Arnaud Courteille,Vital Concept - B&B Hotels,1989-03-13,France,1.76,62.0,arnaud-courteille
119,Mickaël Delage,Groupama - FDJ,1985-08-06,France,1.8,70.0,mickael-delage
120,Arnaud Démare,Groupama - FDJ,1991-08-26,France,1.82,78.0,arnaud-demare
121,Kenny Elissonde,Team INEOS,1991-07-22,France,1.69,52.0,kenny-elissonde
122,Pierrick Fédrigo,noteam,1978-11-30,France,1.72,66.0,pierrick-fedrigo
123,Arnaud Gérard,noteam,1984-10-06,France,1.84,70.0,arnaud-gerard
124,Anthony Geslin,noteam,1980-06-09,France,1.8,68.0,anthony-geslin
125,Frédéric Guesdon,noteam,1971-10-14,France,0.0,0.0,frederic-guesdon
126,Yauheni Hutarovich,noteam,1983-11-29,Belarus,1.78,71.0,yauheni-hutarovich
127,Arnold Jeannesson,noteam,1986-01-16,France,1.82,65.0,arnold-jeannesson
128,Matthieu Ladagnous,Groupama - FDJ,1984-12-12,France,1.82,73.0,matthieu-ladagnous
129,Francis Mourey,noteam,1980-12-08,France,1.71,62.0,francis-mourey
130,Yoann Offredo,Wanty - Gobert Cycling Team,1986-11-12,France,1.89,68.0,yoann-offredo
131,Rémi Pauriol,noteam,1982-04-04,France,0.0,0.0,remi-pauriol
132,Cédric Pineau,noteam,1985-05-08,France,1.77,68.0,cedric-pineau
133,Thibaut Pinot,Groupama - FDJ,1990-05-29,France,1.8,63.0,thibaut-pinot
134,Gabriel Rasch,noteam,1976-04-08,Norway,0.0,0.0,gabriel-rasch
135,Dominique Rollin,noteam,1982-10-29,Canada,1.88,83.0,dominique-rollin
136,Anthony Roux,Groupama - FDJ,1987-04-18,France,1.89,70.0,anthony-roux
137,Jérémy Roy,noteam,1983-06-22,France,1.86,70.0,jeremy-roy
138,Eduardo Sepúlveda,Movistar Team,1991-06-13,Argentina,1.73,61.0,eduardo-sepulveda
139,Geoffrey Soupe,"Cofidis, Solutions Crédits",1988-03-22,France,1.77,70.0,geoffrey-soupe
140,Benoît Vaugrenard,Groupama - FDJ,1982-01-05,France,1.85,72.0,benoit-vaugrenard
141,Jussi Veikkanen,noteam,1981-03-29,Finland,1.78,66.0,jussi-veikkanen
142,Arthur Vichot,Vital Concept - B&B Hotels,1988-11-26,France,1.84,69.0,arthur-vichot
143,Emilien Viennet,noteam,1992-02-06,France,0.0,0.0,emilien-viennet
144,Winner Anacona,Movistar Team,1988-08-11,Colombia,1.79,65.0,winner-anacona
145,Leonardo Bertagnolli,noteam,1978-01-08,Italy,1.74,63.0,leonardo-bertagnolli
146,Grega Bole,Bahrain Merida,1985-08-13,Slovenia,1.77,68.0,grega-bole
147,Matteo Bono,noteam,1983-11-11,Italy,1.71,60.0,matteo-bono
148,Vitaliy Buts,Kyiv Capital Team,1986-10-24,Ukraine,0.0,0.0,vitaliy-buts
149,Mattia Cattaneo,Androni Giocattoli - Sidermec,1990-10-25,Italy,1.84,68.0,mattia-cattaneo
150,Davide Cimolai,Israel Cycling Academy,1989-08-13,Italy,1.85,69.0,davide-cimolai
151,Damiano Cunego,noteam,1981-09-19,Italy,1.69,58.0,damiano-cunego
152,Massimo Graziato,noteam,1988-09-25,Italy,0.0,0.0,massimo-graziato
153,Danilo Hondo,noteam,1974-01-04,Germany,1.84,73.0,danilo-hondo
154,Denys Kostyuk,noteam,1982-03-13,Ukraine,1.76,66.0,denys-kostyuk
155,Dmytro Krivtsov,noteam,1985-04-03,Ukraine,1.83,72.0,dmitro-krivtsov
156,Yuriy Krivtsov,noteam,1979-02-07,Ukraine,1.78,72.0,yuriy-krivtsov
157,Oleksandr Kvachuk,noteam,1983-07-23,Ukraine,0.0,0.0,oleksandr-kvachuk
158,Matthew Lloyd,noteam,1983-05-24,Australia,1.71,62.0,matthew-lloyd
159,Adriano Malori,noteam,1988-01-28,Italy,1.82,68.0,adriano-malori
160,Marco Marzano,noteam,1980-06-10,Italy,1.71,58.0,marco-marzano
161,Manuele Mori,UAE-Team Emirates,1980-08-09,Italy,1.72,62.0,manuele-mori
162,Przemysław Niemiec,noteam,1980-04-11,Poland,1.84,62.0,przemyslaw-niemiec
163,Alessandro Petacchi,noteam,1974-01-03,Italy,1.85,70.0,alessandro-petacchi
164,Daniele Pietropolli,noteam,1980-07-11,Italy,0.0,0.0,daniele-pietropolli
165,Morris Possoni,noteam,1984-07-01,Italy,0.0,0.0,morris-possoni
166,Daniele Righi,noteam,1976-03-28,Italy,0.0,0.0,daniele-righi
167,Michele Scarponi,noteam,1979-09-25,Italy,1.74,62.0,michele-scarponi
168,Oleksandr Sheydyk,noteam,1980-09-13,Ukraine,0.0,0.0,oleksandr-sheydyk
169,Alessandro Spezialetti,noteam,1975-01-14,Italy,0.0,0.0,alessandro-spezialetti
170,Simone Stortoni,noteam,1985-07-07,Italy,1.69,59.0,simone-stortoni
171,Diego Ulissi,UAE-Team Emirates,1989-07-15,Italy,1.75,61.0,diego-ulissi
172,Davide Viganò,noteam,1984-06-12,Italy,1.82,67.0,davide-vigano
173,Michele Viola,noteam,1992-03-24,Italy,0.0,0.0,michele-viola
174,Luca Wackermann,noteam,1992-03-13,Italy,1.88,68.0,luca-wackermann
175,Valerio Agnoli,Bahrain Merida,1985-01-06,Italy,1.78,72.0,valerio-agnoli
176,Stefano Agostini,noteam,1989-01-03,Italy,0.0,0.0,stefano-agostini
177,Daniele Aldegheri,noteam,1990-02-05,Italy,0.0,0.0,daniele-aldegheri
178,Ivan Basso,noteam,1977-11-26,Italy,1.82,70.0,ivan-basso
179,Marco Benfatto,Androni Giocattoli - Sidermec,1988-01-06,Italy,1.81,71.0,marco-benfatto
180,Maciej Bodnar,BORA - hansgrohe,1985-03-07,Poland,1.86,77.0,maciej-bodnar
181,Federico Canuti,noteam,1985-08-30,Italy,1.82,68.0,federico-canuti
182,Eros Capecchi,Deceuninck - Quick Step,1986-06-13,Italy,1.83,65.0,eros-capecchi
183,Damiano Caruso,Bahrain Merida,1987-10-12,Italy,1.79,67.0,damiano-caruso
184,Mauro Da Dalto,noteam,1981-04-08,Italy,0.0,0.0,mauro-da-dalto
185,Tiziano Dall'Antonia,noteam,1983-07-26,Italy,1.84,70.0,tiziano-dall-antonia
186,Timothy Duggan,noteam,1982-11-14,United States,0.0,0.0,timothy-duggan
187,Edward King,noteam,1983-01-31,United States,1.89,78.0,edward-king
188,Kristijan Koren,Bahrain Merida,1986-11-25,Slovenia,1.83,72.0,kristijan-koren
189,Matthias Krizek,Team Felbermayr - Simplon Wels ,1988-09-29,Austria,1.86,74.0,matthias-krizek
190,Paolo Longo Borghini,noteam,1980-12-10,Italy,0.0,0.0,paolo-longo-borghini
191,Alan Marangoni,noteam,1984-07-16,Italy,1.85,74.0,alan-marangoni
192,Moreno Moser,noteam,1990-12-25,Italy,1.77,64.0,moreno-moser
193,Dominik Nerz,noteam,1989-08-25,Germany,1.8,67.0,dominik-nerz
194,Vincenzo Nibali,Bahrain Merida,1984-11-14,Italy,1.81,65.0,vincenzo-nibali
195,Daniel Oss,BORA - hansgrohe,1987-01-13,Italy,1.9,75.0,daniel-oss
196,Maciej Paterski,Wibatech Merx 7R,1986-09-12,Poland,1.86,71.0,maciej-paterski
197,Daniele Ratto,noteam,1989-10-05,Italy,1.8,74.0,daniele-ratto
198,Fabio Sabatini,Deceuninck - Quick Step,1985-02-18,Italy,1.87,74.0,fabio-sabatini
199,Juraj Sagan,BORA - hansgrohe,1988-12-23,Slovakia,1.73,65.0,juraj-sagan
200,Peter Sagan,BORA - hansgrohe,1990-01-26,Slovakia,1.84,78.0,peter-sagan
201,Cristiano Salerno,noteam,1985-02-18,Italy,1.82,64.0,cristiano-salerno
202,Cayetano José Sarmiento,EPM,1987-03-28,Colombia,1.68,58.0,cayetano-jose-sarmiento
203,Sylwester Szmyd,noteam,1978-03-02,Poland,1.79,60.0,sylwester-szmyd
204,Alessandro Vanotti,noteam,1980-09-16,Italy,1.85,70.0,alessandro-vanotti
205,Elia Viviani,Deceuninck - Quick Step,1989-02-07,Italy,1.78,67.0,elia-viviani
206,Lars Ytting Bak,Team Dimension Data,1980-01-16,Denmark,1.9,76.0,lars-ytting-bak
207,Gaetan Bille,noteam,1988-04-06,Belgium,1.82,67.0,gaetan-bille
208,Brian Bulgac,noteam,1988-04-07,Netherlands,1.89,68.0,brian-bulgac
209,Sander Cordeel,noteam,1987-11-07,Belgium,1.87,80.0,sander-cordeel
210,Bart De Clercq,Wanty - Gobert Cycling Team,1986-08-26,Belgium,1.83,67.0,bart-de-clercq
211,Francis de Greef,noteam,1985-02-02,Belgium,1.92,77.0,francis-de-greef
212,Jens Debusschere,Team Katusha Alpecin,1989-08-28,Belgium,1.83,78.0,jens-debusschere
213,Kenny Dehaes,Wallonie-Bruxelles,1984-11-10,Belgium,1.88,73.0,kenny-dehaes
214,Gert Dockx,noteam,1988-07-04,Belgium,1.75,64.0,gert-dockx
215,André Greipel,Team Arkéa Samsic,1982-07-16,Germany,1.84,75.0,andre-greipel
216,Adam Hansen,Lotto Soudal,1981-05-11,Australia,1.86,75.0,adam-hansen
217,Gregory Henderson,noteam,1976-09-10,New Zealand,1.87,75.0,gregory-henderson
218,Olivier Kaisen,noteam,1983-04-30,Belgium,0.0,0.0,olivier-kaisen
219,Gianni Meersman,noteam,1985-12-05,Belgium,1.77,63.0,gianni-meersman
220,Maarten Neyens,noteam,1985-03-01,Belgium,0.0,0.0,maarten-neyens
221,Vicente Reynés,noteam,1981-07-30,Spain,1.75,69.0,vicente-reynes
222,Fréderique Robert,noteam,1989-01-25,Belgium,1.76,68.0,frederique-robert
223,Jürgen Roelandts,Movistar Team,1985-07-02,Belgium,1.84,78.0,jurgen-roelandts
224,Marcel Sieberg,Bahrain Merida,1982-04-30,Germany,1.98,80.0,marcel-sieberg
225,Mehdi Sohrabi,noteam,1981-10-12,Iran,0.0,0.0,mehdi-sohrabi
226,Thomas Sprengers,Sport Vlaanderen - Baloise,1990-02-05,Belgium,1.77,60.0,thomas-sprengers
227,Jurgen van de Walle,noteam,1977-02-09,Belgium,0.0,0.0,jurgen-van-de-walle
228,Jurgen Van den Broeck,noteam,1983-02-01,Belgium,1.85,69.0,jurgen-van-den-broeck
229,Tosh Van der Sande,Lotto Soudal,1990-11-28,Belgium,1.78,64.0,tosh-van-der-sande
230,Jonas van Genechten,Vital Concept - B&B Hotels,1986-09-16,Belgium,1.76,67.0,jonas-van-genechten
231,Joost van Leijen,noteam,1984-07-20,Netherlands,0.0,0.0,joost-van-leijen
232,Dennis Vanendert,noteam,1988-06-27,Belgium,1.81,64.0,dennis-vanendert
233,Jelle Vanendert,Lotto Soudal,1985-02-19,Belgium,1.84,62.0,jelle-vanendert
234,Tim Wellens,Lotto Soudal,1991-05-10,Belgium,1.83,65.0,tim-wellens
235,Frederik Willems,noteam,1979-09-08,Belgium,1.82,67.0,frederik-willems
236,Wouter Wippert,EvoPro Racing,1990-08-14,Netherlands,1.78,75.0,wouter-wippert
237,Andrey Amador,Movistar Team,1986-08-29,Costa Rica,1.81,73.0,andrey-amador
238,Marvin Orlando Angarita,noteam,1989-04-11,Colombia,0.0,0.0,marvin-orlando-angarita
239,David Arroyo,noteam,1980-01-07,Spain,1.74,63.0,david-arroyo
240,Marzio Bruseghin,noteam,1974-06-15,Italy,0.0,0.0,marzio-bruseghin
241,Jonathan Castroviejo,Team INEOS,1987-04-27,Spain,1.71,62.0,jonathan-castroviejo
242,Juan José Cobo,noteam,1981-02-11,Spain,1.75,62.0,juan-jose-cobo
243,Rui Costa,UAE-Team Emirates,1986-10-05,Portugal,1.83,69.0,rui-costa
244,Imanol Erviti,Movistar Team,1983-11-15,Spain,1.89,75.0,imanol-erviti
245,José Iván Gutiérrez,noteam,1978-11-27,Spain,1.81,71.0,ivan-gutierrez
246,Jesús Herrada,"Cofidis, Solutions Crédits",1990-07-26,Spain,1.83,70.0,jesus-herrada-lopez
247,José Herrada,"Cofidis, Solutions Crédits",1985-10-01,Spain,1.75,65.0,jose-herrada
248,Beñat Intxausti,Euskadi Basque Country - Murias,1986-03-20,Spain,1.75,61.0,benat-intxausti
249,Francisco Javier Iriarte Garro,noteam,1986-11-11,Spain,0.0,0.0,francisco-javier-iriarte-garro
250,Vladimir Karpets,noteam,1980-09-20,Russia,1.9,79.0,vladimir-karpets
251,Vasil Kiryienka,Team INEOS,1981-06-28,Belarus,1.82,69.0,vasil-kiryienka
252,Ignatas Konovalovas,Groupama - FDJ,1985-12-08,Lithuania,1.9,75.0,ignatas-konovalovas
253,Pablo Lastras,noteam,1976-01-20,Spain,1.83,68.0,pablo-lastras
254,David López,noteam,1981-05-13,Spain,1.79,68.0,david-lopez
255,Ángel Madrazo,Burgos-BH,1988-07-30,Spain,1.71,61.0,angel-madrazo
256,Javier Moreno,Delko Marseille Provence,1984-07-18,Spain,1.81,63.0,javier-moreno
257,Sergio Pardilla,Caja Rural - Seguros RGA,1984-01-16,Spain,1.7,65.0,sergio-pardilla
258,Rubén Plaza,Israel Cycling Academy,1980-02-29,Spain,1.91,77.0,ruben-plaza
259,Nairo Quintana,Movistar Team,1990-02-04,Colombia,1.67,59.0,nairo-quintana
260,José Joaquín Rojas,Movistar Team,1985-06-08,Spain,1.79,69.0,jose-joaquin-rojas
261,Branislau Samoilau,Minsk Cycling Club,1985-05-25,Belarus,1.88,75.0,branislau-samoilau
262,Enrique Sanz,Euskadi Basque Country - Murias,1989-09-11,Spain,1.71,64.0,enrique-sanz
263,Alejandro Valverde,Movistar Team,1980-04-25,Spain,1.78,61.0,alejandro-valverde
264,Francisco José Ventoso,CCC Team,1982-05-06,Spain,1.8,76.0,fran-ventoso
265,Giovanni Visconti,Neri Sottoli - Selle Italia - KTM,1983-01-13,Italy,1.75,63.0,giovanni-visconti
266,Marco Bandiera,noteam,1984-06-12,Italy,1.74,68.0,marco-bandiera
267,Tom Boonen,noteam,1980-10-15,Belgium,1.92,82.0,tom-boonen
268,Matt Brammeier,noteam,1985-06-07,Ireland,1.81,72.0,matthew-brammeier
269,Dario Cataldo,Astana Pro Team,1985-03-17,Italy,1.75,64.0,dario-cataldo
270,Sylvain Chavanel,noteam,1979-06-30,France,1.81,73.0,sylvain-chavanel
271,Francesco Chicchi,noteam,1980-11-27,Italy,1.76,76.0,francesco-chicchi
272,Gerald Ciolek,noteam,1986-09-19,Germany,1.79,75.0,gerald-ciolek
273,Kevin De Weert,noteam,1982-05-27,Belgium,1.82,70.0,kevin-de-weert
274,Dries Devenyns,Deceuninck - Quick Step,1983-07-22,Belgium,1.76,64.0,dries-devenyns
275,Andrew Fenn,noteam,1990-07-01,Great Britain,1.86,79.0,andrew-fenn
276,Michał Gołaś,Team INEOS,1984-04-29,Poland,1.8,65.0,michal-golas
277,Bert Grabsch,noteam,1975-06-19,Germany,1.79,78.0,bert-grabsch
278,Jeroen Hoorne,noteam,1988-08-14,Belgium,0.0,0.0,jeroen-hoorne
279,Iljo Keisse,Deceuninck - Quick Step,1982-12-21,Belgium,1.83,72.0,iljo-keisse
280,Michał Kwiatkowski,Team INEOS,1990-06-02,Poland,1.76,68.0,michal-kwiatkowski
281,Levi Leipheimer,noteam,1973-10-24,United States,1.7,62.0,levi-leipheimer
282,Nikolas Maes,Lotto Soudal,1986-04-09,Belgium,1.9,78.0,nikolas-maes
283,Tony Martin,Team Jumbo-Visma,1985-04-23,Germany,1.85,75.0,tony-martin
284,Serge Pauwels,CCC Team,1983-11-21,Belgium,1.78,65.0,serge-pauwels
285,Jérôme Pineau,noteam,1980-01-02,France,1.76,65.0,jerome-pineau
286,František Raboň,noteam,1983-09-26,Czech Republic,0.0,0.0,frantisek-rabon
287,Florian Sénéchal,Deceuninck - Quick Step,1993-07-10,France,1.79,76.0,florian-senechal
288,Gert Steegmans,noteam,1980-09-30,Belgium,1.9,82.0,gert-steegmans
289,Zdeněk Štybar,Deceuninck - Quick Step,1985-12-11,Czech Republic,1.83,71.0,zdenek-stybar
290,Niki Terpstra,Team Total Direct Energie,1984-05-18,Netherlands,1.88,75.0,niki-terpstra
291,Matteo Trentin,Mitchelton-Scott,1989-08-02,Italy,1.79,74.0,matteo-trentin
292,Guillaume Van Keirsbulck,CCC Team,1991-02-14,Belgium,1.92,85.0,guillaume-van-keirsbulck
293,Stijn Vandenbergh,AG2R La Mondiale,1984-04-25,Belgium,1.99,85.0,stijn-vandenbergh
294,Kristof Vandewalle,noteam,1985-04-05,Belgium,1.8,74.0,kristof-vandewalle
295,Martin Velits,noteam,1985-02-21,Slovakia,1.85,70.0,martin-velits
296,Peter Velits,noteam,1985-02-21,Slovakia,1.81,63.0,peter-velits
297,Julien Vermote,Team Dimension Data,1989-07-26,Belgium,1.79,71.0,julien-vermote
298,Michael Albasini,Mitchelton-Scott,1980-12-20,Switzerland,1.72,65.0,michael-albasini
299,Fumiyuki Beppu,Trek - Segafredo,1983-04-10,Japan,1.8,69.0,fumiyuki-beppu
