,Fullname,Teamname,Birthdate,Country,Height,Weight,pcs_url
42,Alexis Vuillermoz,AG2R La Mondiale,19880601,France,1.74,60.0,https://www.procyclingstats.com/rider/alexis-vuillermoz
43,Alexys Brunel,noteam,19981010,France,0.0,0.0,https://www.procyclingstats.com/rider/alexys-brunel
44,Álvaro Cuadros,Caja Rural - Seguros RGA,19950412,Spain,0.0,0.0,https://www.procyclingstats.com/rider/alvaro-cuadros
45,Álvaro José Hodeg,Quick-Step Floors,19960916,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/alvaro-jose-hodeg
46,Álvaro Robredo,Burgos-BH ,19930403,Spain,0.0,0.0,https://www.procyclingstats.com/rider/alvaro-robredo
47,Amaël Moinard,Team Fortuneo - Samsic,19820202,France,1.8,69.0,https://www.procyclingstats.com/rider/amael-moinard
48,Amanuel Gebreigzabhier,Team Dimension Data,19940817,Eritrea,0.0,0.0,https://www.procyclingstats.com/rider/amanuel-gebrezgabihier
49,Amaro Manuel Antunes ,CCC Sprandi Polkowice ,19901127,Portugal,1.73,58.0,https://www.procyclingstats.com/rider/amaro-manuel-antunes
50,Amaury Capiot,Sport Vlaanderen - Baloise,19930625,Belgium,1.87,69.0,https://www.procyclingstats.com/rider/amaury-capiot
51,Amund Grondahl Jansen,Team LottoNL-Jumbo,19940211,Norway,1.87,83.0,https://www.procyclingstats.com/rider/amund-grondahl-jansen
52,Anass Ait El Abdia,UAE-Team Emirates,19930321,Morocco,1.8,66.0,https://www.procyclingstats.com/rider/anass-ait-el-abdia
53,Ander Barrenetxea,Euskadi - Murias ,19920329,Spain,0.0,0.0,https://www.procyclingstats.com/rider/ander-barrenetxea
54,André Greipel,Lotto Soudal,19820716,Germany,1.8399999999999999,75.0,https://www.procyclingstats.com/rider/andre-greipel
55,Andrea Guardini,Bardiani - CSF,19890612,Italy,1.75,66.0,https://www.procyclingstats.com/rider/andrea-guardini
56,Andrea Pasqualon,Wanty - Groupe Gobert,19880102,Italy,1.74,68.0,https://www.procyclingstats.com/rider/andrea-pasqualon
57,Andrea Peron,Team Novo Nordisk,19881028,Italy,1.76,70.0,https://www.procyclingstats.com/rider/andrea-peron
58,Andrea Vendrame,Androni Giocattoli - Sidermec,19940720,Italy,0.0,0.0,https://www.procyclingstats.com/rider/andrea-vendrame
59,Andreas Schillinger,BORA - hansgrohe,19830713,Germany,1.88,71.0,https://www.procyclingstats.com/rider/andreas-schillinger
60,Andrei Grivko,Astana Pro Team,19830807,Ukraine,1.81,70.0,https://www.procyclingstats.com/rider/andrei-grivko
61,Andrei Krasilnikau,Holowesko - Citadel p/b Arapahoe Resources,19890425,Belarus,0.0,0.0,https://www.procyclingstats.com/rider/andrei-krasilnikau
62,Andrew Dahlheim,Holowesko - Citadel p/b Arapahoe Resources,19880609,United States,0.0,0.0,https://www.procyclingstats.com/rider/andrew-dahlheim
63,Andrew Fenn,Aqua Blue Sport,19900701,Great Britain,1.8599999999999999,79.0,https://www.procyclingstats.com/rider/andrew-fenn
64,Andrey Amador,Movistar Team,19860829,Costa Rica,1.81,73.0,https://www.procyclingstats.com/rider/andrey-amador
65,Andrey Zeits,Astana Pro Team,19861214,Kazakhstan,1.8900000000000001,73.0,https://www.procyclingstats.com/rider/andrey-zeits
66,Andzs Flaksis,Holowesko - Citadel p/b Arapahoe Resources,19910318,Latvia,0.0,0.0,https://www.procyclingstats.com/rider/andzs-flaksis
67,Ángel Madrazo,Delko Marseille Provence KTM,19880730,Spain,1.71,61.0,https://www.procyclingstats.com/rider/angel-madrazo
68,Angelo Tulik,Direct Energie,19901202,France,1.76,64.0,https://www.procyclingstats.com/rider/angelo-tulik
69,Anthony Delaplace,Team Fortuneo - Samsic,19890911,France,1.81,65.0,https://www.procyclingstats.com/rider/anthony-delaplace
70,Anthony Perez,"Cofidis, Solutions Crédits",19910422,France,1.9,70.0,https://www.procyclingstats.com/rider/anthony-perez
71,Anthony Roux,Groupama - FDJ,19870418,France,1.8900000000000001,70.0,https://www.procyclingstats.com/rider/anthony-roux
72,Anthony Turgis,"Cofidis, Solutions Crédits",19940516,France,1.79,69.0,https://www.procyclingstats.com/rider/anthony-turgis
73,Antoine Duchesne,Groupama - FDJ,19910912,Canada,1.9,75.0,https://www.procyclingstats.com/rider/antoine-duchesne
74,Antoine Warnier,WB Aqua Protect Veranclassic ,19930624,Belgium,1.83,71.0,https://www.procyclingstats.com/rider/antoine-warnier
75,Antonio Molina,Caja Rural - Seguros RGA,19910104,Spain,1.69,57.0,https://www.procyclingstats.com/rider/antonio-molina
76,Antonio Nibali,Bahrain Merida Pro Cycling Team,19920923,Italy,1.8,65.0,https://www.procyclingstats.com/rider/antonio-nibali
77,Antonio Pedrero,Movistar Team,19911023,Spain,0.0,0.0,https://www.procyclingstats.com/rider/antonio-pedrero
78,Antwan Tolhoek,Team LottoNL-Jumbo,19940429,Netherlands,1.78,61.0,https://www.procyclingstats.com/rider/antwan-tolhoek
79,Ariel Maximiliano Richeze,Quick-Step Floors,19830307,Argentina,1.75,68.0,https://www.procyclingstats.com/rider/ariel-maximiliano-richeze
80,Aritz Bagües,Euskadi - Murias ,19890819,Spain,0.0,0.0,https://www.procyclingstats.com/rider/aritz-bagues
81,Arjen Livyns,Vérandas Willems-Crelan ,19940901,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/arjen-livyns
82,Armindo Fonseca,Team Fortuneo - Samsic,19890501,France,1.6800000000000002,56.0,https://www.procyclingstats.com/rider/armindo-fonseca
83,Arnaud Courteille,Vital Concept Cycling Club,19890313,France,1.76,62.0,https://www.procyclingstats.com/rider/arnaud-courteille
84,Arnaud Démare,Groupama - FDJ,19910826,France,1.82,78.0,https://www.procyclingstats.com/rider/arnaud-demare
85,Arnaud Gerard,Team Fortuneo - Samsic,19841006,France,1.8399999999999999,70.0,https://www.procyclingstats.com/rider/arnaud-gerard
86,Artem Nych,Gazprom-RusVelo,19950321,Russia,1.9300000000000002,74.0,https://www.procyclingstats.com/rider/artem-nych
87,Arthur Vichot,Groupama - FDJ,19881126,France,1.8399999999999999,69.0,https://www.procyclingstats.com/rider/arthur-vichot
88,Artyom Zakharov,Astana Pro Team,19911027,Kazakhstan,1.8,70.0,https://www.procyclingstats.com/rider/artyom-zakharov
89,August Jensen,Israel Cycling Academy,19910829,Norway,0.0,0.0,https://www.procyclingstats.com/rider/august-jensen
90,Aurelien Paret-Peintre,noteam,19960227,France,0.0,0.0,https://www.procyclingstats.com/rider/aurelien-paret-peintre
91,Aviv Yechezkel,Israel Cycling Academy,19940421,Israel,1.75,70.0,https://www.procyclingstats.com/rider/aviv-yechezkel
92,Axel Domont,AG2R La Mondiale,19900807,France,1.79,65.0,https://www.procyclingstats.com/rider/axel-domont
93,Axel Journiaux,Direct Energie,19950520,France,0.0,0.0,https://www.procyclingstats.com/rider/axel-journiaux
94,Bakhtiyar Kozhatayev,Astana Pro Team,19920328,Kazakhstan,1.72,62.0,https://www.procyclingstats.com/rider/bakhtiyar-kozhatayev
95,Baptiste Planckaert,Team Katusha - Alpecin,19880928,Belgium,1.76,66.0,https://www.procyclingstats.com/rider/baptiste-planckaert
96,Bart De Clercq,Wanty - Groupe Gobert,19860826,Belgium,1.83,67.0,https://www.procyclingstats.com/rider/bart-de-clercq
97,Bauke Mollema,Trek - Segafredo,19861126,Netherlands,1.81,64.0,https://www.procyclingstats.com/rider/bauke-mollema
98,Ben Gastauer,AG2R La Mondiale,19871114,Luxembourg,1.9,73.0,https://www.procyclingstats.com/rider/ben-gastauer
99,Ben Hermans,Israel Cycling Academy,19860608,Belgium,1.8599999999999999,72.0,https://www.procyclingstats.com/rider/ben-hermans
100,Ben O'Connor,Team Dimension Data,19951125,Australia,1.88,66.0,https://www.procyclingstats.com/rider/ben-o-connor
101,Ben Perry,Israel Cycling Academy,19940307,Canada,1.8,70.0,https://www.procyclingstats.com/rider/ben-perry
102,Ben Swift,UAE-Team Emirates,19871105,Great Britain,1.79,69.0,https://www.procyclingstats.com/rider/ben-swift
103,Beñat Intxausti,Team Sky,19860320,Spain,1.75,61.0,https://www.procyclingstats.com/rider/benat-intxausti
104,Beñat Txoperena,Euskadi - Murias ,19911208,Spain,1.8,67.0,https://www.procyclingstats.com/rider/benat-txoperena
105,Benjamin Declercq,Sport Vlaanderen - Baloise,19940204,Belgium,1.82,67.0,https://www.procyclingstats.com/rider/benjamin-declercq
106,Benjamin King,Team Dimension Data,19890322,United States,1.83,68.0,https://www.procyclingstats.com/rider/benjamin-king-1
107,Benjamin Thomas,Groupama - FDJ,19950912,France,0.0,0.0,https://www.procyclingstats.com/rider/benjamin-thomas-2
108,Benoit Cosnefroy,AG2R La Mondiale,19951017,France,1.76,64.0,https://www.procyclingstats.com/rider/benoit-cosnefroy
109,Benoit Jarrier,Team Fortuneo - Samsic,19890201,France,1.79,69.0,https://www.procyclingstats.com/rider/benoit-jarrier
110,Benoit Vaugrenard,Groupama - FDJ,19820105,France,1.85,72.0,https://www.procyclingstats.com/rider/benoit-vaugrenard
111,Bernardo Suaza,Manzana Postobon,19921128,Colombia,1.74,66.0,https://www.procyclingstats.com/rider/bernardo-suaza
112,Bernhard Eisel,Team Dimension Data,19810217,Austria,1.83,74.0,https://www.procyclingstats.com/rider/bernhard-eisel
113,Bert de Backer,Vital Concept Cycling Club,19840402,Belgium,1.83,79.0,https://www.procyclingstats.com/rider/bert-de-backer
114,Bert-Jan Lindeman,Team LottoNL-Jumbo,19890616,Netherlands,1.8,69.0,https://www.procyclingstats.com/rider/bert-jan-lindeman
115,Bert Van Lerberghe,"Cofidis, Solutions Crédits",19920929,Belgium,1.9,85.0,https://www.procyclingstats.com/rider/bert-van-lerberghe
116,Bjorg Lambrecht,Lotto Soudal,19970402,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/bjorg-lambrecht
117,Bob Jungels,Quick-Step Floors,19920922,Luxembourg,1.8900000000000001,72.0,https://www.procyclingstats.com/rider/bob-jungels
118,Boris Vallée,Wanty - Groupe Gobert,19930603,Belgium,1.88,79.0,https://www.procyclingstats.com/rider/boris-vallee
119,Borut Bozic,Bahrain Merida Pro Cycling Team,19800808,Slovenia,1.8,67.0,https://www.procyclingstats.com/rider/borut-bozic
120,Boy van Poppel,Trek - Segafredo,19880118,Netherlands,1.85,74.0,https://www.procyclingstats.com/rider/boy-van-poppel
121,Bram Tankink,Team LottoNL-Jumbo,19781203,Netherlands,1.81,71.0,https://www.procyclingstats.com/rider/bram-tankink
122,Bram Welten,Team Fortuneo - Samsic,19970329,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/bram-welten
123,Brandon McNulty,Rally Cycling,19980402,United States,0.0,0.0,https://www.procyclingstats.com/rider/brandon-mcnulty
124,Brayan Sanchez,Holowesko - Citadel p/b Arapahoe Resources,19940603,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/brayan-sanchez
125,Brendan Canty,Team EF Education First-Drapac p/b Cannondale,19920117,Australia,1.7000000000000002,60.0,https://www.procyclingstats.com/rider/brendan-canty
126,Brendan Rhim,Holowesko - Citadel p/b Arapahoe Resources,19951219,United States,0.0,0.0,https://www.procyclingstats.com/rider/brendan-rhim
127,Brent Bookwalter,BMC Racing Team,19840216,United States,1.8,70.0,https://www.procyclingstats.com/rider/brent-bookwalter
128,Brenton Jones,Delko Marseille Provence KTM,19911212,Australia,1.82,80.0,https://www.procyclingstats.com/rider/brenton-jones
129,Brian Kamstra,Team Novo Nordisk,19930705,Netherlands,1.8399999999999999,65.0,https://www.procyclingstats.com/rider/brian-kamstra
130,Brian van Goethem,Roompot - Nederlandse Loterij,19910416,Netherlands,1.8599999999999999,77.0,https://www.procyclingstats.com/rider/brian-van-goethem
131,Brice Feillu,Team Fortuneo - Samsic,19850726,France,1.88,66.0,https://www.procyclingstats.com/rider/brice-feillu
132,Bruno Armirail,Groupama - FDJ,19940411,France,1.9,69.0,https://www.procyclingstats.com/rider/bruno-armirail
133,Bryan Coquard,Vital Concept Cycling Club,19920425,France,1.69,58.0,https://www.procyclingstats.com/rider/bryan-coquard
134,Bryan Gomez,Holowesko - Citadel p/b Arapahoe Resources,19941119,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/bryan-gomez
135,Bryan Nauleau,Direct Energie,19880317,France,1.81,67.0,https://www.procyclingstats.com/rider/bryan-nauleau
136,Caleb Ewan,Mitchelton-Scott,19940711,Australia,1.65,61.0,https://www.procyclingstats.com/rider/caleb-ewan
137,Calvin Watson,Aqua Blue Sport,19930106,Australia,1.92,72.0,https://www.procyclingstats.com/rider/calvin-watson
138,Cameron Meyer,Mitchelton-Scott,19880111,Australia,1.81,70.0,https://www.procyclingstats.com/rider/cameron-meyer
139,Carlos Barbero,Movistar Team,19910429,Spain,1.78,66.0,https://www.procyclingstats.com/rider/carlos-barbero
140,Carlos Betancur,Movistar Team,19891013,Colombia,1.67,65.0,https://www.procyclingstats.com/rider/carlos-betancur
141,Carlos Eduardo Alzate,UnitedHealthcare Pro Cycling Team,19830323,Colombia,1.8,74.0,https://www.procyclingstats.com/rider/carlos-eduardo-alzate
142,Carlos Verona,Mitchelton-Scott,19921104,Spain,1.8599999999999999,68.0,https://www.procyclingstats.com/rider/carlos-verona
143,Casper Pedersen,Aqua Blue Sport,19960315,Denmark,0.0,0.0,https://www.procyclingstats.com/rider/casper-pedersen
144,Cesare Benedetti,BORA - hansgrohe,19870803,Italy,1.7000000000000002,63.0,https://www.procyclingstats.com/rider/cesare-benedetti
145,Chad Haga,Team Sunweb  ,19880826,United States,1.9100000000000001,71.5,https://www.procyclingstats.com/rider/chad-haga
146,Charles Bradley Huff,Rally Cycling,19790205,United States,0.0,0.0,https://www.procyclingstats.com/rider/charles-bradley-huff
147,Charles Planet,Team Novo Nordisk,19931030,France,1.79,71.0,https://www.procyclingstats.com/rider/charles-planet
148,Chris Hamilton,Team Sunweb  ,19950518,Australia,0.0,0.0,https://www.procyclingstats.com/rider/chris-hamilton
149,Christian Knees,Team Sky,19810305,Germany,1.94,81.0,https://www.procyclingstats.com/rider/christian-knees
150,Christoph Pfingsten,BORA - hansgrohe,19871120,Germany,1.79,69.0,https://www.procyclingstats.com/rider/christoph-pfingsten
151,Christophe Laporte,"Cofidis, Solutions Crédits",19921211,France,1.8900000000000001,76.0,https://www.procyclingstats.com/rider/christophe-laporte
152,Christophe Masson,WB Aqua Protect Veranclassic ,19850906,France,1.81,68.0,https://www.procyclingstats.com/rider/christophe-masson
153,Christophe Noppe,Sport Vlaanderen - Baloise,19941129,Belgium,1.76,73.0,https://www.procyclingstats.com/rider/christophe-noppe
154,Christopher Blevins,Hagens Berman Axeon,19980314,United States,0.0,0.0,https://www.procyclingstats.com/rider/christopher-blevins
155,Christopher Froome,Team Sky,19850520,Great Britain,1.8599999999999999,69.0,https://www.procyclingstats.com/rider/christopher-froome
156,Christopher Juul-Jensen,Mitchelton-Scott,19890706,Denmark,1.83,73.0,https://www.procyclingstats.com/rider/christopher-juul-jensen
157,Christopher Lawless,Team Sky,19951104,Great Britain,1.81,72.0,https://www.procyclingstats.com/rider/christopher-lawless
158,Christopher Williams,Team Novo Nordisk,19811110,Australia,1.81,75.0,https://www.procyclingstats.com/rider/christopher-williams
159,Chun Kai Feng,Bahrain Merida Pro Cycling Team,19881102,Taiwan,1.7000000000000002,68.0,https://www.procyclingstats.com/rider/chun-kai-feng
160,Clément Chevrier,AG2R La Mondiale,19920629,France,1.77,56.0,https://www.procyclingstats.com/rider/clement-chevrier
161,Clément Davy,noteam,19980717,France,0.0,0.0,https://www.procyclingstats.com/rider/clement-davy
162,Clement Russo,Team Fortuneo - Samsic,19950120,France,0.0,0.0,https://www.procyclingstats.com/rider/clement-russo
163,Clément Venturini,AG2R La Mondiale,19931016,France,1.65,60.0,https://www.procyclingstats.com/rider/clement-venturini
164,Coen Vermeltfoort,Roompot - Nederlandse Loterij,19880411,Netherlands,1.9,85.0,https://www.procyclingstats.com/rider/coen-vermeltfoort
165,Cole Davis,Hagens Berman Axeon,19990611,United States,0.0,0.0,https://www.procyclingstats.com/rider/cole-davis
166,Colin Joyce,Rally Cycling,19940806,United States,0.0,0.0,https://www.procyclingstats.com/rider/colin-joyce
167,Conor Dunne,Aqua Blue Sport,19920122,Ireland,2.04,88.0,https://www.procyclingstats.com/rider/conor-dunne
168,Corentin Ermenault,Vital Concept Cycling Club,19960127,France,0.0,0.0,https://www.procyclingstats.com/rider/corentin-ermenault
169,Cristian Rodríguez,Caja Rural - Seguros RGA,19950303,Spain,1.77,60.0,https://www.procyclingstats.com/rider/cristian-rodriguez
170,Cyril Barthe,Euskadi - Murias ,19960214,France,0.0,0.0,https://www.procyclingstats.com/rider/cyril-barthe
171,Cyril Gautier,AG2R La Mondiale,19870926,France,1.6800000000000002,64.0,https://www.procyclingstats.com/rider/cyril-gautier
172,Cyril Lemoine,"Cofidis, Solutions Crédits",19830303,France,1.81,70.0,https://www.procyclingstats.com/rider/cyril-lemoine
173,Cyrus Monk,Drapac EF Cycling,19961107,Australia,0.0,0.0,https://www.procyclingstats.com/rider/cyrus-monk
174,Daan Olivier,Team LottoNL-Jumbo,19921124,Netherlands,1.88,64.0,https://www.procyclingstats.com/rider/daan-olivier
175,Damiano Caruso,BMC Racing Team,19871012,Italy,1.79,67.0,https://www.procyclingstats.com/rider/damiano-caruso
176,Damiano Cima,Nippo - Vini Fantini - Europa Ovini,19930913,Italy,0.0,0.0,https://www.procyclingstats.com/rider/damiano-cima
177,Damiano Cunego,noteam,19810919,Italy,1.69,58.0,https://www.procyclingstats.com/rider/damiano-cunego
178,Damien Gaudin,Direct Energie,19860820,France,1.9,82.0,https://www.procyclingstats.com/rider/damien-gaudin
179,Damien Howson,Mitchelton-Scott,19920813,Australia,1.88,68.0,https://www.procyclingstats.com/rider/damien-howson
180,Daniel Alexander Jaramillo,UnitedHealthcare Pro Cycling Team,19910115,Colombia,1.75,63.0,https://www.procyclingstats.com/rider/daniel-alexander-jaramillo-diez
181,Daniel Eaton,UnitedHealthcare Pro Cycling Team,19930704,United States,0.0,0.0,https://www.procyclingstats.com/rider/daniel-eaton
182,Daniel Felipe Martinez,Team EF Education First-Drapac p/b Cannondale,19960425,Colombia,1.74,63.0,https://www.procyclingstats.com/rider/daniel-felipe-martinez
183,Daniel Hoelgaard,Groupama - FDJ,19930701,Norway,1.83,77.0,https://www.procyclingstats.com/rider/daniel-hoelgaard
184,Daniel López,Burgos-BH ,19940121,Spain,0.0,0.0,https://www.procyclingstats.com/rider/daniel-lopez
185,Daniel Martin,UAE-Team Emirates,19860820,Ireland,1.75,59.0,https://www.procyclingstats.com/rider/daniel-martin1
186,Daniel McLay,Team EF Education First-Drapac p/b Cannondale,19920103,Great Britain,1.85,72.0,https://www.procyclingstats.com/rider/daniel-mclay
187,Daniel Moreno,Team EF Education First-Drapac p/b Cannondale,19810905,Spain,1.73,59.0,https://www.procyclingstats.com/rider/daniel-moreno
188,Daniel Navarro,"Cofidis, Solutions Crédits",19830718,Spain,1.75,60.0,https://www.procyclingstats.com/rider/daniel-navarro
189,Daniel Oss,BORA - hansgrohe,19870113,Italy,1.9,75.0,https://www.procyclingstats.com/rider/daniel-oss
190,Daniel Pearson,Aqua Blue Sport,19940226,Great Britain,1.65,53.0,https://www.procyclingstats.com/rider/daniel-pearson
191,Daniel Savini,Bardiani - CSF,19970926,Italy,0.0,0.0,https://www.procyclingstats.com/rider/daniel-savini
192,Daniel Teklehaimanot,"Cofidis, Solutions Crédits",19881110,Eritrea,1.88,70.0,https://www.procyclingstats.com/rider/daniel-teklehaimanot
193,Daniel Turek,Israel Cycling Academy,19930119,Czech Republic,1.83,72.0,https://www.procyclingstats.com/rider/daniel-turek
194,Daniele Bennati,Movistar Team,19800924,Italy,1.83,71.0,https://www.procyclingstats.com/rider/daniele-bennati
195,Daniil Fominykh,Astana Pro Team,19910828,Kazakhstan,1.82,70.0,https://www.procyclingstats.com/rider/daniil-fominykh
196,Danilo Celano,Caja Rural - Seguros RGA,19891207,Italy,0.0,0.0,https://www.procyclingstats.com/rider/danilo-celano
197,Danilo Wyss,BMC Racing Team,19850826,Switzerland,1.76,65.0,https://www.procyclingstats.com/rider/danilo-wyss
198,Danny Pate,Rally Cycling,19790324,United States,1.85,73.0,https://www.procyclingstats.com/rider/danny-pate
199,Danny van Poppel,Team LottoNL-Jumbo,19930726,Netherlands,1.83,80.0,https://www.procyclingstats.com/rider/danny-van-poppel
200,Dario Cataldo,Astana Pro Team,19850317,Italy,1.75,64.0,https://www.procyclingstats.com/rider/dario-cataldo
201,Daryl Impey,Mitchelton-Scott,19841206,South Africa,1.81,70.0,https://www.procyclingstats.com/rider/daryl-impey
202,David de la Cruz,Team Sky,19890506,Spain,1.82,66.0,https://www.procyclingstats.com/rider/david-de-la-cruz
203,David Gaudu ,Groupama - FDJ,19961010,France,1.73,53.0,https://www.procyclingstats.com/rider/david-gaudu
204,David Lopez,Team Sky,19810513,Spain,1.79,68.0,https://www.procyclingstats.com/rider/david-lopez
205,David Lozano,Team Novo Nordisk,19881221,Spain,1.78,63.0,https://www.procyclingstats.com/rider/david-lozano
206,David Per,Bahrain Merida Pro Cycling Team,19950213,Slovenia,1.92,81.0,https://www.procyclingstats.com/rider/david-per
207,David Tanner,Vérandas Willems-Crelan ,19840930,Australia,1.8399999999999999,68.0,https://www.procyclingstats.com/rider/david-tanner
208,Davide Ballerini,Androni Giocattoli - Sidermec,19940921,Italy,1.83,78.0,https://www.procyclingstats.com/rider/davide-ballerini
209,Davide Cimolai,Groupama - FDJ,19890813,Italy,1.85,69.0,https://www.procyclingstats.com/rider/davide-cimolai
210,Davide Formolo,BORA - hansgrohe,19921025,Italy,1.81,62.0,https://www.procyclingstats.com/rider/davide-formolo
211,Davide Martinelli,Quick-Step Floors,19930531,Italy,1.8599999999999999,71.0,https://www.procyclingstats.com/rider/davide-martinelli
212,Davide Villella,Astana Pro Team,19910627,Italy,1.82,66.0,https://www.procyclingstats.com/rider/davide-villella
213,Dayer Quintana,Movistar Team,19920810,Colombia,1.67,58.0,https://www.procyclingstats.com/rider/dayer-quintana-rojas
214,Delio Fernandez,Delko Marseille Provence KTM,19860217,Spain,1.78,69.0,https://www.procyclingstats.com/rider/delio-fernandez
